player_id,player_name,order,team,opp_pitcher,matchup,season_iso,drought_games,scale_lambda,hazard_rate,projected_due,hazard_score,target_call,rank
663494,Bryan Torres,3,St. Louis Cardinals,Cristopher Sánchez (LHP),L vs L,0.143,31,13.4,15.7,⚡ DUE NOW (Aug 24),31.5,⚡ DUE DATE WATCH: Critical Hazard Spike,23
655316,Andruw Monasterio,2,Boston Red Sox,Matt Wilkinson (LHP),R vs L,0.159,22,12.1,15.7,⚡ DUE NOW (Aug 24),31.5,⚡ DUE DATE WATCH: Critical Hazard Spike,24
553993,Eugenio Suárez,3,Cincinnati Reds,Mitch Bratt (LHP),R vs L,0.203,10,9.5,15.7,⚡ DUE NOW (Aug 24),31.4,⚡ DUE DATE WATCH: Critical Hazard Spike,25
664983,Jake McCarthy,6,Colorado Rockies,Foster Griffin (LHP),L vs L,0.191,12,10.1,15.6,⚡ DUE NOW (Aug 24),31.2,⚡ DUE DATE WATCH: Critical Hazard Spike,26
545361,Mike Trout,7,Los Angeles Angels,Cal Quantrill (RHP),R vs R,0.194,11,9.9,15.4,⚡ DUE NOW (Aug 24),30.7,⚡ DUE DATE WATCH: Critical Hazard Spike,27
677649,Ezequiel Duran,7,Texas Rangers,Yusei Kikuchi (LHP),R vs L,0.169,17,11.4,15.3,⚡ DUE NOW (Aug 24),30.6,⚡ DUE DATE WATCH: Critical Hazard Spike,28
608070,José Ramírez,8,Cleveland Guardians,Tomoyuki Sugano (RHP),S vs R,0.14,30,13.7,15.0,⚡ DUE NOW (Aug 24),30.1,⚡ DUE DATE WATCH: Critical Hazard Spike,29
694192,Jackson Chourio,8,Milwaukee Brewers,Tyler Mahle (RHP),R vs R,0.186,12,10.3,15.0,⚡ DUE NOW (Aug 24),30.1,⚡ DUE DATE WATCH: Critical Hazard Spike,30
672724,Oswald Peraza,9,Los Angeles Angels,Cal Quantrill (RHP),R vs R,0.123,45,15.6,15.0,⚡ DUE NOW (Aug 24),29.9,⚡ DUE DATE WATCH: Critical Hazard Spike,31
642350,Jose Siri,5,Los Angeles Angels,Cal Quantrill (RHP),R vs R,0.196,10,9.8,14.9,⚡ DUE NOW (Aug 24),29.9,⚡ DUE DATE WATCH: Critical Hazard Spike,32
668904,Royce Lewis,9,Minnesota Twins,Walker Buehler (RHP),R vs R,0.175,14,11.0,14.7,⚡ DUE NOW (Aug 24),29.5,⚡ DUE DATE WATCH: Critical Hazard Spike,33
695506,Jac Caglianone,4,Kansas City Royals,TBD Pitcher (RHP),L vs R,0.215,7,8.9,14.6,🔥 PEAK WINDOW (Aug 24),29.1,🔥 ELEVATED HAZARD: Approaching Due Window,34
700250,Ben Rice,4,New York Yankees,José Soriano (RHP),L vs R,0.278,3,6.9,14.4,⏳ Developing (Aug 27),28.9,⚾ Baseline Rotation,35
665862,Jazz Chisholm Jr.,7,New York Yankees,José Soriano (RHP),L vs R,0.172,14,11.2,14.4,⚡ DUE NOW (Aug 24),28.8,⚡ DUE DATE WATCH: Critical Hazard Spike,36
665923,Esteury Ruiz,4,Miami Marlins,Jackson Kent (LHP),R vs L,0.197,9,9.7,14.4,🔥 PEAK WINDOW (Aug 24),28.7,🔥 ELEVATED HAZARD: Approaching Due Window,37
596142,Gary Sánchez,7,Milwaukee Brewers,Tyler Mahle (RHP),R vs R,0.222,6,8.6,14.2,🔥 PEAK WINDOW (Aug 25),28.4,🔥 ELEVATED HAZARD: Approaching Due Window,38
642708,Amed Rosario,2,New York Yankees,José Soriano (RHP),R vs R,0.199,8,9.6,13.8,🔥 PEAK WINDOW (Aug 24),27.6,🔥 ELEVATED HAZARD: Approaching Due Window,39
665019,Kody Clemens,7,Minnesota Twins,Walker Buehler (RHP),L vs R,0.23,5,8.3,13.8,⏳ Developing (Aug 27),27.6,⚾ Baseline Rotation,40
665052,Griffin Conine,5,Miami Marlins,Jackson Kent (LHP),L vs L,0.268,3,7.2,13.7,⏳ Developing (Aug 28),27.4,⚾ Baseline Rotation,41
682657,Angel Martínez,2,Cleveland Guardians,Tomoyuki Sugano (RHP),S vs R,0.184,10,10.4,13.6,🔥 PEAK WINDOW (Aug 24),27.3,🔥 ELEVATED HAZARD: Approaching Due Window,42
700652,Kenny Piper,7,Tampa Bay Rays,Shane Baz (RHP),R vs R,0.375,1,5.1,13.6,⏳ Developing (Aug 28),27.2,⚾ Baseline Rotation,43
543807,George Springer,8,Toronto Blue Jays,Carlos Rodón (LHP),R vs L,0.15,19,12.8,13.5,⚡ DUE NOW (Aug 24),27.1,⚡ DUE DATE WATCH: Critical Hazard Spike,44
657041,Lane Thomas,6,Atlanta Braves,Shane Drohan (LHP),R vs L,0.227,5,8.5,13.5,⏳ Developing (Aug 27),27.1,⚾ Baseline Rotation,45
666126,Carlos Cortes,3,Athletics,Cristian Javier (RHP),L vs R,0.145,21,13.2,13.5,⚡ DUE NOW (Aug 24),27.0,⚡ DUE DATE WATCH: Critical Hazard Spike,46
677592,Everson Pereira,4,St. Louis Cardinals,Cristopher Sánchez (LHP),R vs L,0.213,6,9.0,13.4,⏳ Developing (Aug 27),26.8,⚾ Baseline Rotation,47
643289,Mauricio Dubón,8,Atlanta Braves,Shane Drohan (LHP),R vs L,0.124,33,15.5,13.2,⚡ DUE NOW (Aug 24),26.3,⚡ DUE DATE WATCH: Critical Hazard Spike,48
680977,Brendan Donovan,1,Seattle Mariners,Shota Imanaga (LHP),L vs L,0.132,27,14.5,13.2,⚡ DUE NOW (Aug 24),26.3,⚡ DUE DATE WATCH: Critical Hazard Spike,49
