player_id,player_name,order,team,opp_pitcher,matchup,season_iso,drought_games,scale_lambda,hazard_prob,hazard_score,target_call,rank
665833,Oneil Cruz,4,Pittsburgh Pirates,Tarik Skubal (LHP),L vs L,0.224,0,8.6,8.0,16.0,🔄 RECENT RESET: Just Homered,112
804668,Rafael Flores Jr.,5,Pittsburgh Pirates,Tarik Skubal (LHP),R vs L,0.385,0,5.0,8.0,16.0,🔄 RECENT RESET: Just Homered,113
663968,Jake Mangum,6,Pittsburgh Pirates,Tarik Skubal (LHP),S vs L,0.092,0,20.9,8.0,16.0,🔄 RECENT RESET: Just Homered,114
694377,Nick Yorke,7,Pittsburgh Pirates,Tarik Skubal (LHP),R vs L,0.081,0,23.7,8.0,16.0,🔄 RECENT RESET: Just Homered,115
669707,Jared Triolo,8,Pittsburgh Pirates,Tarik Skubal (LHP),R vs L,0.068,0,24.0,8.0,16.0,🔄 RECENT RESET: Just Homered,116
680779,Henry Davis,9,Pittsburgh Pirates,Tarik Skubal (LHP),R vs L,0.129,0,14.9,8.0,16.0,🔄 RECENT RESET: Just Homered,117
660271,Shohei Ohtani,1,Los Angeles Dodgers,Jared Jones (RHP),L vs R,0.261,0,7.4,8.0,16.0,🔄 RECENT RESET: Just Homered,118
518692,Freddie Freeman,2,Los Angeles Dodgers,Jared Jones (RHP),L vs R,0.163,0,11.8,8.0,16.0,🔄 RECENT RESET: Just Homered,119
605141,Mookie Betts,3,Los Angeles Dodgers,Jared Jones (RHP),R vs R,0.174,0,11.0,8.0,16.0,🔄 RECENT RESET: Just Homered,120
571970,Max Muncy,4,Los Angeles Dodgers,Jared Jones (RHP),L vs R,0.252,0,7.6,8.0,16.0,🔄 RECENT RESET: Just Homered,121
669242,Tommy Edman,5,Los Angeles Dodgers,Jared Jones (RHP),S vs R,0.137,0,14.0,8.0,16.0,🔄 RECENT RESET: Just Homered,122
663656,Kyle Tucker,6,Los Angeles Dodgers,Jared Jones (RHP),L vs R,0.134,0,14.3,8.0,16.0,🔄 RECENT RESET: Just Homered,123
606192,Teoscar Hernández,7,Los Angeles Dodgers,Jared Jones (RHP),R vs R,0.149,0,12.9,8.0,16.0,🔄 RECENT RESET: Just Homered,124
677950,Alek Thomas,8,Los Angeles Dodgers,Jared Jones (RHP),L vs R,0.159,0,12.1,8.0,16.0,🔄 RECENT RESET: Just Homered,125
666163,Ben Rortvedt,9,Los Angeles Dodgers,Jared Jones (RHP),L vs R,0.05,0,24.0,8.0,16.0,🔄 RECENT RESET: Just Homered,126
691718,Pete Crow-Armstrong,1,Chicago Cubs,Kade Anderson (LHP),L vs L,0.275,0,7.0,8.0,16.0,🔄 RECENT RESET: Just Homered,127
673548,Seiya Suzuki,2,Chicago Cubs,Kade Anderson (LHP),R vs L,0.213,0,9.0,8.0,16.0,🔄 RECENT RESET: Just Homered,128
608324,Alex Bregman,3,Chicago Cubs,Kade Anderson (LHP),R vs L,0.16,0,12.0,8.0,16.0,🔄 RECENT RESET: Just Homered,129
683737,Michael Busch,4,Chicago Cubs,Kade Anderson (LHP),L vs L,0.146,0,13.2,8.0,16.0,🔄 RECENT RESET: Just Homered,130
663538,Nico Hoerner,5,Chicago Cubs,Kade Anderson (LHP),R vs L,0.098,0,19.6,8.0,16.0,🔄 RECENT RESET: Just Homered,131
621438,Tyrone Taylor,6,Chicago Cubs,Kade Anderson (LHP),R vs L,0.262,0,7.3,8.0,16.0,🔄 RECENT RESET: Just Homered,132
699393,Pedro Ramírez,7,Chicago Cubs,Kade Anderson (LHP),S vs L,0.127,0,15.1,8.0,16.0,🔄 RECENT RESET: Just Homered,133
682634,Kevin Alcántara,8,Chicago Cubs,Kade Anderson (LHP),R vs L,0.131,0,14.7,8.0,16.0,🔄 RECENT RESET: Just Homered,134
665804,Miguel Amaya,9,Chicago Cubs,Kade Anderson (LHP),R vs L,0.136,0,14.1,8.0,16.0,🔄 RECENT RESET: Just Homered,135
680977,Brendan Donovan,1,Seattle Mariners,David Peterson (LHP),L vs L,0.132,0,14.5,8.0,16.0,🔄 RECENT RESET: Just Homered,136
668227,Randy Arozarena,2,Seattle Mariners,David Peterson (LHP),R vs L,0.176,0,10.9,8.0,16.0,🔄 RECENT RESET: Just Homered,137
686527,Dominic Canzone,3,Seattle Mariners,David Peterson (LHP),L vs L,0.23,0,8.3,8.0,16.0,🔄 RECENT RESET: Just Homered,138
677594,Julio Rodríguez,4,Seattle Mariners,David Peterson (LHP),R vs L,0.162,0,11.9,8.0,16.0,🔄 RECENT RESET: Just Homered,139
647304,Josh Naylor,5,Seattle Mariners,David Peterson (LHP),L vs L,0.102,0,18.8,8.0,16.0,🔄 RECENT RESET: Just Homered,140
621493,Taylor Ward,6,Seattle Mariners,David Peterson (LHP),R vs L,0.05,0,24.0,8.0,16.0,🔄 RECENT RESET: Just Homered,141
663728,Cal Raleigh,7,Seattle Mariners,David Peterson (LHP),S vs L,0.148,0,13.0,8.0,16.0,🔄 RECENT RESET: Just Homered,142
702284,Cole Young,8,Seattle Mariners,David Peterson (LHP),L vs L,0.14,0,13.7,8.0,16.0,🔄 RECENT RESET: Just Homered,143
660844,Leo Rivas,9,Seattle Mariners,David Peterson (LHP),S vs L,0.05,0,24.0,8.0,16.0,🔄 RECENT RESET: Just Homered,144
682674,Victor Bericoto,1,San Francisco Giants,Patrick Sandoval (LHP),R vs L,0.188,0,10.2,8.0,16.0,🔄 RECENT RESET: Just Homered,145
646240,Rafael Devers,2,San Francisco Giants,Patrick Sandoval (LHP),L vs L,0.23,0,8.3,8.0,16.0,🔄 RECENT RESET: Just Homered,146
